#KEY	PBS_4	PBS_3	PBS_2	PBS_1	CML_4	CML_3	CML_2	CML_1
0610005C13Rik	3	4	2	3	2	12	2	9
0610007P14Rik	599	843	529	711	524	703	726	676
0610009B22Rik	786	1252	946	894	1014	1254	966	1066
0610009L18Rik	49	58	42	67	62	23	70	40
0610009O20Rik	306	228	271	257	371	428	375	377
0610010B08Rik	0	0	0	0	0	0	0	0
0610010F05Rik	566	367	551	477	432	798	453	562
0610010K14Rik	1382	1382	1356	1369	1507	1362	1185	1459
0610011F06Rik	130	188	153	148	98	168	215	152
0610012G03Rik	636	586	608	641	666	871	651	768
0610030E20Rik	1165	1164	1191	1180	1128	1268	1201	1133
0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	579	564	390	705	598	568	586	544
0610038B21Rik	3	0	0	0	4	1	6	1
0610039H22Rik	3	2	1	0	0	0	0	1
0610039K10Rik	38	51	22	31	21	46	33	31
0610040B10Rik	13	40	7	10	5	6	19	9
0610040F04Rik	0	0	0	0	0	0	0	0
0610040J01Rik	5708	5352	5582	5346	5571	8139	5966	6793
0610043K17Rik	6	0	5	1	6	0	5	3
1010001N08Rik	0	0	0	0	0	0	0	0
1110001J03Rik	103	90	139	103	120	138	115	145
1110002L01Rik	77	60	75	55	73	86	69	79
1110004E09Rik	182	241	227	177	110	213	168	227
1110004F10Rik	1857	2185	1725	1893	1889	2212	1781	2033
1110006O24Rik	45	35	20	37	25	39	32	38
1110007C09Rik	709	657	653	581	653	752	718	781
1110008F13Rik	907	922	884	932	863	1157	958	1116
1110008L16Rik	408	299	342	276	316	371	289	340
1110008P14Rik	23	46	94	23	26	75	59	66
1110012L19Rik	291	375	208	207	264	325	246	314
1110015O18Rik	0	0	0	0	0	0	0	0
1110017D15Rik	3	0	0	0	0	1	0	0
1110019D14Rik	117	175	86	134	122	143	163	122
1110020A21Rik	4	8	15	0	4	5	0	6
1110025L11Rik	0	0	0	1	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0
1110032A03Rik	453	773	589	382	509	669	611	585
1110032F04Rik	0	0	0	0	9	0	0	1
1110034G24Rik	425	458	458	395	342	458	344	456
1110036E04Rik	0	0	0	0	0	0	0	0
1110037F02Rik	1650	1578	1404	1155	1671	2485	1548	1807
1110038B12Rik	40	41	48	55	25	42	42	37
1110038F14Rik	282	358	418	374	328	412	335	463
1110046J04Rik	0	0	0	5	4	0	1	0
1110051M20Rik	393	296	378	392	370	356	349	442
1110058D11Rik	0	0	1	0	3	0	1	2
1110059E24Rik	649	856	675	555	571	955	593	759
1110059G10Rik	930	1297	796	811	880	1085	880	1041
1110065P20Rik	29	30	36	48	32	40	44	36
1190002F15Rik	2	6	3	0	2	13	0	7
1190002N15Rik	1577	1401	1658	1056	1813	2279	1445	1936
1190003K10Rik	0	0	0	0	0	0	0	0
1190005I06Rik	0	0	0	0	0	0	0	0
1190007I07Rik	153	243	134	114	129	186	160	157
1200014J11Rik	1667	2024	1760	1549	1634	2310	1543	2001
1300002E11Rik	171	228	195	173	226	168	113	181
1300017J02Rik	0	0	0	0	0	0	0	0
1500004A13Rik	5	6	4	26	40	9	31	11
1500009C09Rik	0	0	0	0	6	0	0	6
1500009L16Rik	0	0	0	0	0	0	0	0
1500011B03Rik	177	295	226	114	180	179	190	187
1500011K16Rik	430	513	410	398	321	558	337	502
1500012F01Rik	73	147	50	100	69	125	94	87
1500012K07Rik	0	0	0	0	0	0	0	0
1500015A07Rik	38	64	31	47	32	34	44	24
1500015L24Rik	0	0	0	0	0	0	0	0
1500015O10Rik	8	8	8	3	15	30	22	20
1500017E21Rik	0	0	0	0	0	0	0	0
1500026H17Rik	4	0	1	2	4	7	14	3
1600002D24Rik	0	0	0	0	0	0	0	2
1600002H07Rik	26	42	74	22	39	118	7	68
1600002K03Rik	240	235	176	253	161	235	179	237
1600010M07Rik	138	160	104	134	115	149	148	125
1600012H06Rik	2287	2441	2023	2006	2190	3019	2103	2408
1600014C10Rik	3077	2265	2245	2001	2442	2765	1583	2548
1600014C23Rik	0	0	0	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0
1600020E01Rik	76	88	51	53	84	93	62	60
1600023N17Rik	8	0	0	0	0	1	7	5
1600025M17Rik	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0
1600029I14Rik	0	0	0	0	0	0	0	0
1600029O15Rik	0	0	0	0	0	0	0	0
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	61	68	64	81	46	37	48	53
1700001D01Rik	2	0	1	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0
1700001G11Rik	10	6	9	10	11	9	17	8
1700001G17Rik	13	33	12	9	0	24	13	19
1700001J03Rik	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0
1700001K19Rik	2	1	1	5	1	3	7	0
1700001K23Rik	1	0	0	0	5	0	3	4
1700001L05Rik	30	18	16	0	11	0	4	11
1700001L19Rik	0	0	0	0	0	0	0	0
1700001O22Rik	3	0	1	0	0	2	0	1
1700001P01Rik	0	0	0	0	0	0	0	0
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	1
1700003E16Rik	0	0	0	0	0	3	0	2
1700003E24Rik	0	0	0	0	0	0	0	0
1700003F12Rik	16	33	15	20	8	21	17	19
1700003G13Rik	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0
1700003M02Rik	0	0	0	0	0	0	0	0
1700003M07Rik	3	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	1	0	0
1700006F04Rik	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0
1700007G11Rik	0	0	0	0	0	0	0	0
1700007J10Rik	11	0	9	3	0	3	2	7
1700007K09Rik	0	0	0	0	0	0	0	0
1700007K13Rik	8	4	1	0	0	0	0	3
1700007L15Rik	43	52	47	52	41	72	87	71
1700007P06Rik	0	0	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0
1700008J07Rik	58	42	35	81	61	54	28	27
1700008K24Rik	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	0	1	3	0	0	1
1700008P02Rik	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0
1700009J07Rik	41	9	3	32	16	7	19	22
1700009N14Rik	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	3	0	2
1700010I02Rik	0	0	0	0	0	0	0	0
1700010I14Rik	67	25	22	45	51	43	22	57
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0
1700011E24Rik	2	0	0	0	0	0	0	0
1700011H14Rik	0	0	0	0	0	0	0	0
1700011I03Rik	63	47	62	62	60	80	62	62
1700011L22Rik	6	4	3	6	15	5	7	7
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	3	0
1700012C14Rik	0	0	0	0	0	0	0	0
1700012D01Rik	7	13	6	5	4	23	13	10
1700012D14Rik	33	42	43	38	30	33	50	31
1700012D16Rik	0	0	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0	0	0
1700012L04Rik	1	0	2	0	0	3	1	1
1700012P22Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	1	0	1
