Gene	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	PBS_1	PBS_2	PBS_3	PBS_4	CML_1	CML_2	CML_3	CML_4
S100a8	469.1821236	2.564389609	0.137324528	18.67393714	8.07E-78	1.26E-73	0	0	0	0	499.910482	1207.056755	1162.54475	883.9450014
Ngp	481.7364839	2.151550628	0.13629129	15.78641321	3.86E-56	3.01E-52	0	2.050310937	0	0.915511502	438.6969536	1327.865687	1144.512578	939.8508308
Ltf	197.4235034	2.133213937	0.136525196	15.62505675	4.91E-55	2.55E-51	0	0	0	0	260.1574957	596.8167705	354.2791483	368.1346128
Camp	155.7592702	1.53166959	0.131542002	11.64395836	2.46E-31	9.59E-28	0	0	0	0	142.8315663	440.9009706	363.8255924	298.5160327
Chil3	148.9375154	1.255422117	0.126994085	9.885673941	4.80E-23	1.50E-19	0	1.025155469	0	0	108.1439002	391.3383322	394.5863568	296.4063788
Lcn2	85.15894136	0.951861692	0.119297305	7.978903582	1.48E-15	3.83E-12	0	0	0	0	58.15285198	257.1061866	187.7467343	178.265758
S100a9	328.404531	0.776256539	0.112412841	6.905408082	5.01E-12	1.11E-08	0	0	0	0	271.3799759	801.2626538	910.094339	644.4992791
C4b	289.4015561	-0.946208103	0.137383332	-6.887357361	5.68E-12	1.11E-08	327.9752124	345.4773929	736.7838066	421.1352908	90.80006713	147.6553602	119.8609095	125.5244095
Farp1	83.67482664	-0.804275959	0.13602084	-5.912887757	3.36E-09	5.82E-06	141.650424	101.4903914	139.7079464	105.2838227	46.93037178	43.36730858	45.61078855	45.35755974
Cd177	32.78014713	0.617766366	0.105349367	5.86397798	4.52E-09	7.04E-06	0	0	0	0	33.66744062	47.49752844	126.2252055	54.85100247
Vsig10	85.29001	0.759406904	0.135079776	5.621914157	1.89E-08	2.67E-05	18.52351698	54.33323984	41.36603999	27.46534505	145.8922427	163.1436847	106.0716013	125.5244095
Cers4	80.91315309	0.746811901	0.136923556	5.454225128	4.92E-08	6.39E-05	39.22627125	46.13199609	28.87817886	41.19801758	90.80006713	160.0460198	94.40372514	146.6209489
Ttc37	561.7925772	-0.6149097	0.11467327	-5.36227582	8.22E-08	9.85E-05	784.5254251	696.0805632	734.4423326	635.3649822	405.0295129	497.6914937	319.2755199	421.9307883
Hspa1b	202.976621	-0.673119212	0.127196596	-5.291959329	1.21E-07	0.000125692	448.9228821	149.6726984	470.6362663	285.6395886	24.48541136	85.70206219	95.46444116	63.28961824
Rabl3	236.0403187	0.661730085	0.133267771	4.965417226	6.86E-07	0.000427226	107.8722459	180.4273625	172.4885818	148.3128633	383.604778	284.9851707	359.5827284	251.048819
Itpr3	135.0199728	-0.678261343	0.137316708	-4.939394145	7.84E-07	0.000469591	140.5608053	218.3581148	238.0498528	189.5108809	110.1843511	68.14862777	66.82510881	48.52204065
Foxn2	382.4559211	-0.616030992	0.128859647	-4.780635428	1.75E-06	0.001008326	452.1917381	419.2885867	668.1005704	459.5867739	254.0361429	273.627066	213.2039186	319.6125721
Zfp414	128.316071	0.626981958	0.134181992	4.672623726	2.97E-06	0.001597628	111.1411019	67.66026093	75.70765809	82.39603516	164.2563012	144.5576953	193.0503143	187.7592008
Gm26917	13983.35538	-0.593744575	0.127752903	-4.647601436	3.36E-06	0.001687751	13130.9943	19428.74644	23192.29959	16534.13772	6730.427448	10384.40529	11992.45524	10473.37699
4933417C20Rik	36.27702285	0.593086355	0.130883028	4.531422933	5.86E-06	0.002684696	17.43389834	19.4779539	14.82933509	13.73267253	46.93037178	42.33475361	82.735849	52.74134853
Gm37298	108.3180411	0.615338448	0.137351327	4.480032776	7.46E-06	0.003059895	45.76398313	80.98728202	85.07355394	48.52210959	143.8517918	128.0368158	177.1395741	157.1692186
Hsph1	1185.890787	-0.592469458	0.132584368	-4.468622263	7.87E-06	0.003071154	1487.329452	1075.388087	2169.765871	1504.185397	567.2453632	932.3971345	914.3372031	836.4777877
Gm37352	90.52727759	0.596200702	0.13376807	4.456973178	8.31E-06	0.003083542	66.4667374	57.40870624	54.63439244	65.91682813	113.2450275	110.4833814	143.1966617	112.8664859
Uprt	47.90840549	-0.598900686	0.136510611	-4.387209772	1.15E-05	0.003726673	69.73559334	62.53448359	80.39060601	64.08580513	25.50563684	18.58598939	35.00362842	27.42550124
4930518I15Rik	94.91761687	0.581305254	0.136205349	4.267859213	1.97E-05	0.005196073	41.40550855	66.63510546	71.80520149	68.66336263	138.7506644	139.3949204	112.4358974	120.2502747
Gm43984	126.0847159	0.582214361	0.137281506	4.241025451	2.23E-05	0.005591232	54.4809323	63.55963906	120.9761547	62.25478212	141.8113408	188.9575588	201.5360424	175.1012771
