Symbols,Genes ,fold d/h,GF_1,GF_2,GF_3,GF_4,GF_5,GF_7,GF_8,SPF_1,SPF_2,SPF_3,SPF_4,SPF_6,SPF_7,SPF_8,t-test
DDIT4,NM_029083,11.2229965156794,232,420,140,116,1027,785,501,40,21,22,13,73,70,48,0.007198902847369
IQGAP1,NM_016721,5.83870967741936,24,44,10,16,20,17,50,4,14,2,3,1,6,1,0.003764139463635
TSC22D3,NM_001077364,5.3375,47,107,44,53,257,214,132,23,17,23,20,39,16,22,0.009737504774067
RAB3D,NM_031874,5.16666666666667,7,14,5,10,2,7,17,1,1,1,1,3,1,4,0.004171453720394
GNAZ,NM_010311,4.85714285714286,1,1,5,5,9,9,4,1,1,1,1,1,1,1,0.009123197660997
AGPAT4,NM_026644,3.95833333333333,5,21,21,10,15,10,13,4,7,1,1,5,5,1,0.001279054215279
BCL2,NM_009741,2.96739130434783,44,28,58,45,28,24,46,16,13,25,4,1,8,25,0.000946946647719
MYO19,NM_025414,2.89655172413793,12,10,16,8,8,17,13,9,2,5,2,3,4,4,0.000438590340442
NR1D1,NM_145434,2.7,15,26,36,13,29,26,17,9,7,20,10,7,3,4,0.002459632940923
NOTCH4,NM_010929,2.68085106382979,75,107,52,51,32,80,107,42,5,12,13,24,49,43,0.004095814398687
TTYH2,NM_053273,2.62790697674419,17,29,26,41,36,38,39,11,4,17,20,16,10,8,0.000253237884963
ZXDB,NM_001081473,2.53571428571429,14,11,12,14,6,7,7,1,2,3,1,9,10,2,0.008242576084386
LIMK2,NM_010718,2.48780487804878,39,62,30,15,57,36,67,17,25,14,16,13,13,25,0.0042142312878
LIMK2,NM_173053,2.48780487804878,39,62,30,15,57,36,67,17,25,14,16,13,13,25,0.0042142312878
SUPV3L1,NM_181423,2.47887323943662,19,27,43,38,20,5,24,12,9,11,10,5,10,14,0.009801309640289
SERPINE2,NM_009255,2.4661558109834,1625,1774,1501,1387,972,1040,1356,641,490,544,477,605,597,561,9.89634500148638E-06
SULT1A1,NM_133670,2.38857938718663,278,270,208,109,342,266,242,118,69,124,107,131,84,85,0.000335231974492
RPS19BP1,NM_175109,2.30067567567568,101,113,112,35,81,165,74,39,24,46,33,60,42,52,0.004703323567146
SPR,NM_011467,2.29056603773585,85,87,70,139,85,89,52,16,46,66,35,30,42,30,0.001257064694915
WFS1,NM_011716,2.20754716981132,18,20,17,8,18,16,20,4,5,14,3,1,19,7,0.008605966879497
RDM1,NM_025654,2.1875,49,25,36,55,49,21,45,6,17,24,35,22,5,19,0.004856830758502
1700001C19RIK,NM_029296,2.16666666666667,7,9,4,6,11,9,6,4,1,5,5,1,4,4,0.003548344535655
SMAGP,NM_001033872,2.13414634146341,49,41,56,45,28,82,49,15,34,20,23,35,11,26,0.002921569874969
RETSAT,NM_026159,2.13063063063063,79,50,83,83,80,68,30,36,40,24,45,28,31,18,0.001152288271281
FAM125A,NM_028617,2.12980769230769,49,96,62,31,59,85,61,44,26,31,30,22,26,29,0.002097450654092
UST,NM_177387,2.12698412698413,11,24,21,14,23,24,17,3,18,7,9,7,13,6,0.002946656034471
CUL7,NM_025611,2.08441558441558,72,45,43,34,63,36,28,19,27,10,18,27,26,27,0.003379688249602
MPV17L2,NM_183170,2.06726457399103,62,82,60,94,50,31,82,46,24,44,38,32,21,18,0.0031503958598
KCTD10,NM_026145,2.03846153846154,50,28,37,30,59,38,23,15,11,20,25,6,22,31,0.006048430508897
SEPW1,NM_009156,2.03205128205128,95,98,102,46,82,116,95,43,52,31,23,83,37,43,0.001361315132001
GGA2,NM_028758,2.02521008403361,28,26,36,39,33,56,23,25,17,11,13,20,14,19,0.002414797302688
PLXNB3,NM_019587,2.01923076923077,16,14,19,17,14,10,15,11,11,7,13,5,1,4,0.002374151586401
ANXA11,NM_013469,2,4,5,3,3,2,6,5,3,1,3,1,2,2,2,0.007081771942323
SMAGP,NM_174992,1.97191011235955,49,40,57,46,29,82,48,15,38,21,23,35,17,29,0.004438825281575
NFKBIL1,NM_010909,1.97083333333333,62,94,90,41,80,80,26,50,40,38,37,26,27,22,0.007656809693873
B4GALNT1,NM_008080,1.93790849673203,98,49,63,128,103,78,74,37,20,41,52,58,52,46,0.003229617133335
PHPT1,NM_029293,1.925,54,55,58,81,104,57,53,35,38,34,32,28,36,37,0.001089061351252
FAM160B2,NM_194345,1.92338709677419,50,59,74,55,80,104,55,33,15,47,15,57,39,42,0.004557896417943
ARPP19,NM_021548,1.91633466135458,214,144,201,253,224,195,212,122,105,161,108,76,61,120,0.000116124312952
DPM3,NM_026767,1.91563275434243,87,120,131,69,112,111,142,74,37,60,54,64,50,64,0.000299102572113
ARPP19,NM_001142655,1.91379310344828,214,144,201,253,224,195,212,122,105,161,109,76,61,120,0.000117702505468
