Sample name,Sample name prefix,Group,Age,Gender,Project id,Lane,Replicate,Name in project,# Reads
GF_52w_M_1,GF_52w_M,GF,52w,M,Project_148,2,1,Sample_Mg_GF1_old,"35,713,942.00"
GF_8w_M_1,GF_8w_M,GF,8w,M,Project_148,2,1,Sample_Mg_GF1_young,"25,919,398.00"
GF_52w_M_2,GF_52w_M,GF,52w,M,Project_148,2,2,Sample_Mg_GF2_old,"29,752,263.00"
GF_8w_M_2,GF_8w_M,GF,8w,M,Project_148,2,2,Sample_Mg_GF2_young,"24,133,081.00"
GF_52w_M_3,GF_52w_M,GF,52w,M,Project_148,3,3,Sample_Mg_GF3_old,"26,395,568.00"
GF_8w_M_3,GF_8w_M,GF,8w,M,Project_148,1,3,Sample_Mg_GF3_young,"33,992,780.00"
GF_52w_M_4,GF_52w_M,GF,52w,M,Project_148,1,4,Sample_Mg_GF4_old,"43,039,786.00"
GF_8w_M_4,GF_8w_M,GF,8w,M,Project_148,1,4,Sample_Mg_GF4_young,"34,793,315.00"
SPF_52w_M_1,SPF_52w_M,SPF,52w,M,Project_148,3,1,Sample_Mg_SPF1_old,"39,848,443.00"
SPF_8w_M_1,SPF_8w_M,SPF,8w,M,Project_148,3,1,Sample_Mg_SPF1_young,"22,409,703.00"
SPF_52w_M_2,SPF_52w_M,SPF,52w,M,Project_148,3,2,Sample_Mg_SPF2_old,"48,057,292.00"
SPF_8w_M_2,SPF_8w_M,SPF,8w,M,Project_148,1,2,Sample_Mg_SPF2_young,"36,671,418.00"
SPF_52w_M_3,SPF_52w_M,SPF,52w,M,Project_148,3,3,Sample_Mg_SPF3_old,"38,255,738.00"
SPF_8w_M_3,SPF_8w_M,SPF,8w,M,Project_148,3,3,Sample_Mg_SPF3_young,"28,553,962.00"
SPF_52w_M_4,SPF_52w_M,SPF,52w,M,Project_148,2,4,Sample_Mg_SPF4_old,"38,619,006.00"
SPF_8w_M_4,SPF_8w_M,SPF,8w,M,Project_148,1,4,Sample_Mg_SPF4_young,"35,563,349.00"
SPF_52w_M_5,SPF_52w_M,SPF,52w,M,Project_148,2,5,Sample_Mg_SPF5_old,"33,313,240.00"
SPF_104w_F_1,SPF_104w_F,SPF,104w,F,Project_S174,6,1,Sample_SPF_2_w,"22,723,039.00"
SPF_104w_F_2,SPF_104w_F,SPF,104w,F,Project_S174,6,2,Sample_SPF_3_w,"26,576,971.00"
SPF_104w_F_3,SPF_104w_F,SPF,104w,F,Project_S174,6,3,Sample_SPF_4_w,"27,272,299.00"
SPF_104w_M_1,SPF_104w_M,SPF,104w,M,Project_S174,6,1,Sample_SPF_6_m,"24,645,397.00"
SPF_104w_M_2,SPF_104w_M,SPF,104w,M,Project_S174,6,2,Sample_SPF_7_m,"30,640,002.00"
SPF_104w_M_3,SPF_104w_M,SPF,104w,M,Project_S174,6,3,Sample_SPF_8_m,"35,258,671.00"
SPF_104w_M_4,SPF_104w_M,SPF,104w,M,Project_S174,6,4,Sample_SPF_9_m,"26,260,958.00"
GF_52w_F_1,GF_52w_F,GF,52w,F,Project_S178,7,1,Sample_GF_1,"27,894,434.00"
GF_52w_F_2,GF_52w_F,GF,52w,F,Project_S178,7,2,Sample_GF_2,"34,120,439.00"
GF_52w_F_3,GF_52w_F,GF,52w,F,Project_S178,7,3,Sample_GF_3,"37,245,249.00"
GF_52w_F_4,GF_52w_F,GF,52w,F,Project_S178,7,4,Sample_GF_4,"33,756,499.00"
GF_52w_F_5,GF_52w_F,GF,52w,F,Project_S178,7,5,Sample_GF_5,"24,620,358.00"
GF_52w_F_6,GF_52w_F,GF,52w,F,Project_S178,7,6,Sample_GF_6,"47,221,337.00"
SPF_52w_F_1,SPF_52w_F,SPF,52w,F,Project_S178,7,1,Sample_SPF_1,"34,534,227.00"
SPF_52w_F_2,SPF_52w_F,SPF,52w,F,Project_S178,7,2,Sample_SPF_2,"26,014,867.00"
SPF_52w_F_3,SPF_52w_F,SPF,52w,F,Project_S178,7,3,Sample_SPF_3,"42,940,540.00"
SPF_52w_F_4,SPF_52w_F,SPF,52w,F,Project_S178,7,4,Sample_SPF_4,"23,882,688.00"
SPF_52w_F_5,SPF_52w_F,SPF,52w,F,Project_S178,7,5,Sample_SPF_5,"28,518,287.00"
SPF_52w_F_6,SPF_52w_F,SPF,52w,F,Project_S178,7,6,Sample_SPF_6,"26,865,928.00"
