genes_in_mod	GF_104w_M_1_2	GF_104w_M_2_2	GF_104w_M_3_2	GF_104w_M_4_2	GF_104w_M_5_2	GF_8w_M_1_2	GF_8w_M_3_2	GF_8w_M_4_2	SPF_104w_M_1_2	SPF_104w_M_10_2	SPF_104w_M_11_2	SPF_104w_M_12_2	SPF_104w_M_13_2	SPF_104w_M_14_2	SPF_104w_M_2_2	SPF_104w_M_4_2	SPF_104w_M_5_2	SPF_104w_M_6_2	SPF_104w_M_7_2	SPF_104w_M_8_2	SPF_104w_M_9_2	SPF_8w_M_2_2	SPF_8w_M_3_2	SPF_8w_M_4_2
Acp5	ME0	-0.244945133151977	-0.229121006951809	-0.118097039861653	-0.168672109729774	-0.244945133151977	-0.0787772271774723	-0.0409494307362313	-0.191087866553336	-0.244945133151977	-0.244945133151977	-0.150797122063364	-0.244945133151977	-0.244945133151977	-0.244945133151977	-0.218802384579044	-0.244945133151977	-0.244945133151977	4.68649318123606	-0.121764226526584	-0.244945133151977	-0.244945133151977	-0.211680611537944	-0.217402557695122	-0.244945133151977
Coa8	ME0	1.16665469066917	0.804555620798566	-0.450119219237516	0.591297611667908	-0.925022179109554	-0.099335028891798	0.0755664544070557	-0.75717177989753	0.42881403384304	1.43028121195849	-1.00207817609427	1.23885173078967	0.772754353951137	-1.37932038618193	0.846104074950039	-0.996578423704008	0.563574697085891	-0.9524258709876	1.08337229737223	-2.13547453997345	-0.486694970667734	-0.721305580418757	-0.521138160865941	1.42483753853689
Bcl2	ME0	-0.516955581095704	0.090585077458886	-0.465593980238083	-0.0724843255189551	-0.278828501011299	0.589717731448173	0.971642594032079	3.50606145279654	0.0885155394392482	1.39523962716904	-0.83320548560157	0.911914039721536	-0.351243741401407	-0.235701155025369	-1.7321793788787	-0.654135867894925	-0.560947917258057	0.446405529802854	-0.22333592457187	-0.247943777207733	-0.247204572185964	-0.21378005994077	-0.891851926555559	-0.47468939748239
Brca1	ME0	-0.609900869068864	-0.719070145364374	-0.719070145364374	0.499887989016149	-0.686494578130132	-0.719070145364374	-0.496153257430466	-0.639619024272897	-0.719070145364374	-0.698383168990977	1.65887252162145	-0.719070145364374	0.2405736861354	0.558228606529276	2.30194967994901	-0.15186098958918	0.112706283768012	-0.688296293811027	2.75010101553047	-0.483939079361452	0.462567330383441	-0.500970737906325	-0.719070145364374	0.685151757814346
Casp3	ME0	0.888795810807871	-0.321400225698966	0.749123074197235	0.229015943922201	-1.3599779068437	0.322050206320025	-0.230200017283685	-0.184716873897282	-1.94722893847742	-0.704334688172631	-0.303499206937783	2.69668925923372	0.210720966543729	1.4707389302264	-0.0932656683182083	-0.939632992114054	0.649970242972892	-1.20795651425938	-0.367502907621826	0.261599595362202	0.199986008005148	0.382301523083741	0.883302017061128	-1.28457763811135
Cdkn1a	ME0	1.45531866723454	0.429021940497903	-0.961819704124229	-0.244590055805026	-0.668231191020179	-0.965094017330565	-1.28686121906078	-1.25471173248485	1.20365840608447	-0.0634922309279639	-0.213097092054647	-0.813069134410714	0.289793214539671	1.33397601010337	1.11500582455444	1.95992001722312	0.357563125294427	1.50067360743037	-0.351841392365923	-0.069896069214178	-1.33464341623601	0.233268084569549	-0.444238655491083	-1.20661298700571
Clu	ME0	-0.694455440029135	-0.694455440029135	-0.388563055517807	0.312326512157047	-0.465759979444014	-0.679117198605942	-0.65993384327377	-0.36634755617425	3.17321978959074	-0.0793548394901278	-0.416362764527833	-0.248875243097302	-0.333120890710183	-0.694455440029135	2.10597515151845	1.46054665167224	-0.455915693608627	-0.516534720453	-0.353346522491603	-0.378875049012007	0.204452746762635	1.28704330976296	-0.568609801365258	-0.549480683604939
Cryab	ME0	2.95075920246741	-0.86273617662733	-0.408256737917361	0.395540687844076	-0.102313016413341	-0.00409448883193505	-1.14674031758246	-0.079161750415858	0.759188881557718	-1.30146876390519	0.285139520207236	1.92898468566816	-0.562870198777824	-0.896009014471729	0.493835381319644	0.385456717070616	0.873443572813205	-0.770301677744982	-1.33952555541641	0.361224098201179	-0.209591218720046	0.0379934349613392	0.185371698579494	-0.973868963865622
Dynll1	ME0	0.969816085020535	0.313931853268948	-0.797115869682768	-1.22239798850238	-1.20118396645345	-0.956910707371105	-0.586939769340831	-0.788355692532928	-0.556469100696056	0.607980636552264	0.791460622630288	-0.234154196978519	1.53981392906539	3.15057444447113	-0.183969990122231	-1.10132900791443	0.0216743996328493	0.259537389969139	-0.394368695375376	-0.297380258482796	0.330797239282194	0.412538109932377	0.671106655511494	-0.748656121883729
Ercc6	ME0	0.766720424348561	-1.84659297500277	-0.599790307635452	0.975882646971499	-0.534708590425089	1.5166764823218	0.160796413287846	0.429240576396491	1.29544771610548	-0.265921167716984	-0.865373079478507	-0.172114517689679	0.508846085534567	0.48079081003668	-0.112030588375993	-1.54858235094552	-0.534639470982951	-0.162527606915908	-0.918630847155756	1.84983314276585	1.04373453466037	0.943074248789707	-1.15751524937942	-1.25261632951482
