GF_104w_M_1_2	GF_104w_M_2_2	GF_104w_M_3_2	GF_104w_M_4_2	GF_104w_M_5_2	GF_8w_M_1_2	GF_8w_M_3_2	GF_8w_M_4_2	SPF_104w_M_1_2	SPF_104w_M_10_2	SPF_104w_M_11_2	SPF_104w_M_12_2	SPF_104w_M_13_2	SPF_104w_M_14_2	SPF_104w_M_2_2	SPF_104w_M_4_2	SPF_104w_M_5_2	SPF_104w_M_6_2	SPF_104w_M_7_2	SPF_104w_M_8_2	SPF_104w_M_9_2	SPF_8w_M_2_2	SPF_8w_M_3_2	SPF_8w_M_4_2
0	149897.986149199	500640.394673449	448828.953313581	602249.729861347	516021.351514892	546991.012778133	619470.690007595	286481.020514197	599254.702452974	635176.407665689	650637.7037346	509614.692416025	671084.653399	377786.88669879	340292.951179768	461870.727771162	610214.364033678	591695.314877384	559403.803665468	692695.909453819	547885.468940536	445415.025064406	529601.24564278
149897.986149199	0	516296.851872198	465774.183672776	611304.417988471	503641.750555361	534554.086426952	614853.592761273	270749.208211934	644184.255057133	695827.734389086	697442.669064845	562724.231673872	709391.094932879	416049.116810252	376147.278202661	529923.897023813	667304.592416363	647404.869716447	618763.028224978	770825.115158089	554852.547379666	447594.295385594	559828.240527553
500640.394673449	516296.851872198	0	102800.156760407	172740.476608115	357377.218384171	349402.283741661	297456.844751115	408321.385141604	410103.305272753	380174.800196815	448386.449671896	360863.158344768	403810.849871677	215149.058324537	258720.77227459	345652.744737615	406617.375542336	363177.87807482	353000.503938718	536782.574576714	307585.762880369	329794.055662781	321059.164764512
448828.953313581	465774.183672776	102800.156760407	0	190054.931808246	391981.148028594	391644.00058502	351185.846511886	387642.627645724	428175.633945698	399603.368279119	463310.957791191	355299.416054635	431511.080827221	205328.445148776	231932.471145445	345689.629897694	416061.742210018	377860.373972129	364570.617471337	542146.017160771	356361.697266805	355888.74292452	356363.110104053
602249.729861347	611304.417988471	172740.476608115	190054.931808246	0	412380.625057303	399991.990465837	298090.622622355	501777.887250439	404228.336926568	363481.05239029	423417.402055571	369721.826323336	365626.278091271	296917.25797252	350802.074451198	390943.497349407	392127.381708253	356074.725570423	363559.646390961	521484.183748887	357322.829231783	402567.898284738	378008.681667717
516021.351514892	503641.750555361	357377.218384171	391981.148028594	412380.625057303	0	62859.0936280041	190518.930942192	338016.980674038	368579.049197049	469404.953732467	420576.339708967	414906.194829898	410459.599093545	311046.419865962	350401.499410012	374900.028785305	447936.606186847	410914.931223863	450082.783281197	589778.555322355	151640.127156542	155472.837270979	214839.481331153
546991.012778133	534554.086426952	349402.283741661	391644.00058502	399991.990465837	62859.0936280041	0	163867.137280399	360366.885635998	374202.917444034	469675.034261807	425765.646009758	428040.525298542	406535.300763122	317785.106674936	360432.288873338	388191.193974319	455162.048414875	414395.293186224	458869.879971888	599355.82793774	132483.984940419	170441.49178521	206571.036418194
619470.690007595	614853.592761273	297456.844751115	351185.846511886	298090.622622355	190518.930942192	163867.137280399	0	451284.192825112	324815.415883361	393947.813174109	362329.499515715	395156.80316691	322683.171243872	328540.662917412	390331.390501402	377920.036134066	392309.007538537	355639.98586988	404863.739059135	538126.331148079	172300.65192725	266868.777900509	244961.659387542
286481.020514197	270749.208211934	408321.385141604	387642.627645724	501777.887250439	338016.980674038	360366.885635998	451284.192825112	0	501724.107297385	567582.807239542	556223.543607832	443353.924635351	565067.417954427	268640.513803295	235882.239387716	411547.821535435	539162.769420033	510971.64389022	510245.397322625	673179.459905405	380089.599827668	274839.516517939	378197.71359667
599254.702452974	644184.255057133	410103.305272753	428175.633945698	404228.336926568	368579.049197049	374202.917444034	324815.415883361	501724.107297385	0	194139.65635033	98021.2936603032	237748.524116695	139262.657573255	354366.743301211	427249.159256351	200149.532703264	150884.858123374	160107.603935935	227031.484047371	265402.221502207	343146.046724059	370396.888459423	318582.891322211
635176.407665689	695827.734389086	380174.800196815	399603.368279119	363481.05239029	469404.953732467	469675.034261807	393947.813174109	567582.807239542	194139.65635033	0	193053.199285421	200115.761802933	170976.356807389	359289.665863072	429392.093571465	217665.350097996	149225.266292297	138628.145774363	149213.619981317	204605.875322205	410651.190196397	444120.883246172	379627.676311976
650637.7037346	697442.669064845	448386.449671896	463310.957791191	423417.402055571	420576.339708967	425765.646009758	362329.499515715	556223.543607832	98021.2936603032	193053.199285421	0	256171.585696593	126210.683296389	403376.333477297	474729.826467874	245691.802065981	149878.358000971	166759.424220009	246768.192949767	245140.794341105	394218.953250274	428521.649840624	367772.753445694
509614.692416025	562724.231673872	360863.158344768	355299.416054635	369721.826323336	414906.194829898	428040.525298542	395156.80316691	443353.924635351	237748.524116695	200115.761802933	256171.585696593	0	260899.523892317	281861.075289336	335321.592704951	185817.289039401	227346.830762117	202446.813609406	200227.980522633	293936.186332436	391199.457828906	361245.894898112	358625.187009001
671084.653399	709391.094932879	403810.849871677	431511.080827221	365626.278091271	410459.599093545	406535.300763122	322683.171243872	565067.417954427	139262.657573255	170976.356807389	126210.683296389	260899.523892317	0	393151.716079855	470028.870378834	273121.647703019	176005.574733872	175945.480079711	240878.26124403	283650.94820657	364174.368668959	414931.636848347	361793.371358508
377786.88669879	416049.116810252	215149.058324537	205328.445148776	296917.25797252	311046.419865962	317785.106674936	328540.662917412	268640.513803295	354366.743301211	359289.665863072	403376.333477297	281861.075289336	393151.716079855	0	105726.016193499	247644.693106479	361414.312070522	313193.943579049	320801.867277739	492307.917890195	279864.100716934	244017.687747025	249589.91577748
340292.951179768	376147.278202661	258720.77227459	231932.471145445	350802.074451198	350401.499410012	360432.288873338	390331.390501402	235882.239387716	427249.159256351	429392.093571465	474729.826467874	335321.592704951	470028.870378834	105726.016193499	0	306004.280230728	433673.541088559	386393.218466	388982.957546381	559636.082354422	330492.084413389	278399.534924344	290625.36188509
461870.727771162	529923.897023813	345652.744737615	345689.629897694	390943.497349407	374900.028785305	388191.193974319	377920.036134066	411547.821535435	200149.532703264	217665.350097996	245691.802065981	185817.289039401	273121.647703019	247644.693106479	306004.280230728	0	211608.820118877	177607.763579448	189226.236613907	290553.367045447	347936.990438473	329785.832409576	285394.056391617
610214.364033678	667304.592416363	406617.375542336	416061.742210018	392127.381708253	447936.606186847	455162.048414875	392309.007538537	539162.769420033	150884.858123374	149225.266292297	149878.358000971	227346.830762117	176005.574733872	361414.312070522	433673.541088559	211608.820118877	0	134638.823705678	164950.925688875	218708.421768894	403381.198089341	428322.775918803	376649.363837179
