genes	module
Erg28	1
0610009B22Rik	1
Dele1	2
Sanbr	1
0610010K14Rik	9
Mettl26	7
0610012G03Rik	9
0610030E20Rik	4
Czib	2
0610040J01Rik	3
Fmc1	7
Cfap298	3
1110004F10Rik	0
1110006O24Rik	1
Card19	3
Rab5if	5
Prorp	1
Bbln	0
Eola1	0
1110019D14Rik	4
1110032A03Rik	7
Shld1	7
Virma	4
1110038B12Rik	4
1110038F14Rik	3
1110051M20Rik	0
1110059E24Rik	1
1110059G10Rik	1
Dipk2a	1
1190007I07Rik	0
Ncbp3	0
1300002E11Rik	1
1500011B03Rik	7
Mtln	7
Zfas1	2
1500015A07Rik	2
Tedc2	0
Fam174c	2
1600010M07Rik	2
1600012H06Rik	1
1600014C10Rik	8
1600020E01Rik	2
1700001C19Rik	0
1700007L15Rik	1
1700008J07Rik	4
1700010I14Rik	4
1700017B05Rik	3
Nat8f4	0
Oip5os1	1
1700020N01Rik	10
Mtres1	9
Rubcn	6
1700025G04Rik	2
1700028E10Rik	4
1700029J07Rik	4
1700030C10Rik	0
1700030K09Rik	2
1700037C18Rik	0
1700037H04Rik	5
Zfp974	1
1700052K11Rik	6
1700066M21Rik	1
1700094D03Rik	2
1700096K18Rik	0
1700110C19Rik	4
Lrmda	1
1700113A16Rik	9
1700123O20Rik	1
1810010H24Rik	8
Tmem273	2
Tcim	2
1810013L24Rik	1
1810014B01Rik	7
1810021B22Rik	2
Rbis	7
Chaserr	2
Timm29	8
1810030O07Rik	8
Snhg16	2
1810037I17Rik	1
Cfap410	2
Ndufaf8	5
1810055G02Rik	0
1810058I24Rik	7
Borcs7	7
Atp5mpl	7
Fam241b	5
Ly6m	2
Aopep	1
2010204K13Rik	1
2010315B03Rik	4
2010320M18Rik	3
Nbdy	7
Ube2d-ps	9
2210016F16Rik	5
2210016L21Rik	3
Emsy	2
Zfp995	1
2210408F21Rik	0
2210408I21Rik	4
2300009A05Rik	2
Pigbos1	7
2310011J03Rik	3
2310015A10Rik	0
2310022A10Rik	3
2310022B05Rik	6
2310033P09Rik	3
Relch	4
Trir	9
2310039H08Rik	0
2310040G24Rik	2
Borcs8	3
Borcs6	3
2310057M21Rik	1
2310061I04Rik	0
Tmem94	6
2410002F23Rik	2
2410004B18Rik	4
2410006H16Rik	7
Micos13	7
Riox1	0
Cplane1	4
Spring1	0
2500004C02Rik	2
2510002D24Rik	2
2510009E07Rik	8
2510039O18Rik	6
Smim30	7
2610002M06Rik	1
2610008E11Rik	4
Ccdc191	4
Rexo5	2
2610035D17Rik	2
2610044O15Rik8	7
2610203C22Rik	4
Cfap418	1
2610306M01Rik	2
2610507B11Rik	6
2610507I01Rik	2
2610524H06Rik	1
2610528A11Rik	0
Hpf1	1
2700038G22Rik	4
2700049A03Rik	4
Rtraf	7
2700062C07Rik	2
Zfta	2
Selenoh	3
2700097O09Rik	4
2810001G20Rik	0
2810002D19Rik	1
2810004N23Rik	3
Mtrfr	3
2810013P06Rik	4
2810021J22Rik	0
2810025M15Rik	9
Khdc4	4
Pclaf	1
Rex1bd	9
2810454H06Rik	1
Cerox1	3
Resf1	4
2900005J15Rik	4
2900008C10Rik	0
2900026A02Rik	8
2900076A07Rik	4
2900097C17Rik	1
3000002C10Rik	4
Mrnip	0
3110001I22Rik	1
Rmc1	2
3110009E18Rik	0
Vxn	4
3110040N11Rik	7
C9orf72	1
Zfp983	4
3110056K07Rik	4
Abhd18	1
Cyren	2
3110082I17Rik	0
3425401B19Rik	0
3830403N18Rik	1
3830406C13Rik	1
Spata6l	0
4632404H12Rik	2
4632415L05Rik	4
4632427E13Rik	4
4632428C04Rik	0
Vsir	6
4732471J01Rik	2
4732491K20Rik	4
4831440E17Rik	1
4833411C07Rik	4
4833417C18Rik	2
4833420G17Rik	4
4833439L19Rik	1
4921511C10Rik	1
4921524J17Rik	4
4921531C22Rik	1
Dnaaf9	3
4930404N11Rik	6
Tedc1	0
4930430F08Rik	8
Brme1	0
4930447K03Rik	0
4930447M23Rik	1
4930453N24Rik	1
4930480K23Rik	0
4930481A15Rik	2
4930486L24Rik	0
4930503L19Rik	4
4930523C07Rik	0
4930526I15Rik	2
Bnip5	0
4930563E22Rik	1
4930579G24Rik	0
4930594C11Rik	4
4930599N23Rik	4
4931402G19Rik	4
4931406C07Rik	0
4931406H21Rik	4
Garre1	0
4931414P19Rik	3
4931431C16Rik	4
Stk35os1	2
4932438A13Rik	4
4933404O12Rik	0
4933406I18Rik	2
4933407K13Rik	4
4933412E12Rik	3
4933421O10Rik	4
4933427D14Rik	2
4933431G14Rik	4
4933434E20Rik	1
4933439C10Rik	2
Rubcnl	0
5031425E22Rik	4
5031439G07Rik	6
Dubr	0
5430405H02Rik	4
5430416N02Rik	2
Tasl	1
5530601H04Rik	4
5730409E04Rik	2
5730455P16Rik	2
Fam241a	4
Trmo	0
5830417I10Rik	2
5830432E09Rik	2
5830444B04Rik	2
5930430L01Rik	1
6030458C11Rik	0
6030468B19Rik	0
6230400D17Rik	1
6330407A03Rik	4
Zswim9	2
Tmem268	5
6330418K02Rik	2
6330549D23Rik	0
6430548M08Rik	6
6530402F18Rik	8
6720489N17Rik	0
8030423J24Rik	0
8030442B05Rik	2
8030462N17Rik	1
Fam234b	8
Dglucy	0
Vps35l	5
Armh3	6
9130019O22Rik	0
9130023H24Rik	2
9130401M01Rik	3
9330133O14Rik	4
9330151L19Rik	4
9430015G10Rik	2
Maip1	1
9430038I01Rik	0
