Sirpa	signal-regulatory protein alpha	MGI:MGI:108563
Adgrb1	adhesion G protein-coupled receptor B1	MGI:MGI:1933736
Ripk1	receptor (TNFRSF)-interacting serine-threonine kinase 1	MGI:MGI:108212
Ulbp1	UL16 binding protein 1	MGI:MGI:1925027
Wdr35	WD repeat domain 35	MGI:MGI:1921932
Ripk3	receptor-interacting serine-threonine kinase 3	MGI:MGI:2154952
Ripk3	receptor-interacting serine-threonine kinase 3	MGI:MGI:2154952
Trpv1	transient receptor potential cation channel, subfamily V, member 1	MGI:MGI:1341787
mt-Co2	mitochondrially encoded cytochrome c oxidase II	MGI:MGI:102503
Trp53	transformation related protein 53	MGI:MGI:98834
Trp53	transformation related protein 53	MGI:MGI:98834
Syk	spleen tyrosine kinase	MGI:MGI:99515
Pdk3	pyruvate dehydrogenase kinase, isoenzyme 3	MGI:MGI:2384308
Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	MGI:MGI:88590
Cryab	crystallin, alpha B	MGI:MGI:88516
Crp	C-reactive protein, pentraxin-related	MGI:MGI:88512
Crp	C-reactive protein, pentraxin-related	MGI:MGI:88512
Crp	C-reactive protein, pentraxin-related	MGI:MGI:88512
Duoxa1	dual oxidase maturation factor 1	MGI:MGI:2384861
Duoxa1	dual oxidase maturation factor 1	MGI:MGI:2384861
Hdac4	histone deacetylase 4	MGI:MGI:3036234
Xdh	xanthine dehydrogenase	MGI:MGI:98973
Plau	plasminogen activator, urokinase	MGI:MGI:97611
Rac1	Rac family small GTPase 1	MGI:MGI:97845
Dynll1	dynein light chain LC8-type 1	MGI:MGI:1861457
Rab27a	RAB27A, member RAS oncogene family	MGI:MGI:1861441
Sirt3	sirtuin 3	MGI:MGI:1927665
Sirt3	sirtuin 3	MGI:MGI:1927665
Tgfb1	transforming growth factor, beta 1	MGI:MGI:98725
Romo1	reactive oxygen species modulator 1	MGI:MGI:1914317
Tusc2	tumor suppressor 2, mitochondrial calcium regulator	MGI:MGI:1931086
H60a	histocompatibility 60a	MGI:MGI:1306817
Egfr	epidermal growth factor receptor	MGI:MGI:95294
Khsrp	KH-type splicing regulatory protein	MGI:MGI:1336214
Grb2	growth factor receptor bound protein 2	MGI:MGI:95805
Birc2	baculoviral IAP repeat-containing 2	MGI:MGI:1197009
Sirt5	sirtuin 5	MGI:MGI:1915596
Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3	MGI:MGI:95773
Gnai2	guanine nucleotide binding protein (G protein), alpha inhibiting 2	MGI:MGI:95772
Tlr2	toll-like receptor 2	MGI:MGI:1346060
Tlr2	toll-like receptor 2	MGI:MGI:1346060
Mapt	microtubule-associated protein tau	MGI:MGI:97180
Selenos	selenoprotein S	MGI:MGI:95994
H2-M3	histocompatibility 2, M region locus 3	MGI:MGI:95915
Gch1	GTP cyclohydrolase 1	MGI:MGI:95675
Map3k7	mitogen-activated protein kinase kinase kinase 7	MGI:MGI:1346877
Mapk14	mitogen-activated protein kinase 14	MGI:MGI:1346865
Mapk9	mitogen-activated protein kinase 9	MGI:MGI:1346862
Fyn	Fyn proto-oncogene	MGI:MGI:95602
Cflar	CASP8 and FADD-like apoptosis regulator	MGI:MGI:1336166
F2rl1	coagulation factor II (thrombin) receptor-like 1	MGI:MGI:101910
Coa8	cytochrome c oxidase assembly factor 8	MGI:MGI:1915270
Epor	erythropoietin receptor	MGI:MGI:95408
Clcn3	chloride channel, voltage-sensitive 3	MGI:MGI:103555
Mmp3	matrix metallopeptidase 3	MGI:MGI:97010
Sirt1	sirtuin 1	MGI:MGI:2135607
Grin1	glutamate receptor, ionotropic, NMDA1 (zeta 1)	MGI:MGI:95819
Smpd3	sphingomyelin phosphodiesterase 3, neutral	MGI:MGI:1927578
Ccn6	cellular communication network factor 6	MGI:MGI:2685581
Pid1	phosphotyrosine interaction domain containing 1	MGI:MGI:2138391
Pax2	paired box 2	MGI:MGI:97486
Oprm1	opioid receptor, mu 1	MGI:MGI:97441
Oprm1	opioid receptor, mu 1	MGI:MGI:97441
Aldh2	aldehyde dehydrogenase 2, mitochondrial	MGI:MGI:99600
Thbs1	thrombospondin 1	MGI:MGI:98737
Coq7	demethyl-Q 7	MGI:MGI:107207
Aatf	apoptosis antagonizing transcription factor	MGI:MGI:1929608
Aatf	apoptosis antagonizing transcription factor	MGI:MGI:1929608
Arf4	ADP-ribosylation factor 4	MGI:MGI:99433
Atp7a	ATPase, Cu++ transporting, alpha polypeptide	MGI:MGI:99400
Prkn	parkin RBR E3 ubiquitin protein ligase	MGI:MGI:1355296
Prkn	parkin RBR E3 ubiquitin protein ligase	MGI:MGI:1355296
Prkn	parkin RBR E3 ubiquitin protein ligase	MGI:MGI:1355296
Alox5	arachidonate 5-lipoxygenase	MGI:MGI:87999
Cav1	caveolin 1, caveolae protein	MGI:MGI:102709
Hspd1	heat shock protein 1 (chaperonin)	MGI:MGI:96242
Foxm1	forkhead box M1	MGI:MGI:1347487
Hp	haptoglobin	MGI:MGI:96211
Mpv17l	Mpv17 transgene, kidney disease mutant-like	MGI:MGI:2135951
Rnf41	ring finger protein 41	MGI:MGI:1914838
Rnf41	ring finger protein 41	MGI:MGI:1914838
Igf1	insulin-like growth factor 1	MGI:MGI:96432
Noxa1	NADPH oxidase activator 1	MGI:MGI:2449980
Ifng	interferon gamma	MGI:MGI:107656
Ifng	interferon gamma	MGI:MGI:107656
Atp5g1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	MGI:MGI:107653
Hrh1	histamine receptor H1	MGI:MGI:107619
Akr1c18	aldo-keto reductase family 1, member C18	MGI:MGI:2145420
Slc30a10	solute carrier family 30, member 10	MGI:MGI:2685058
Duoxa2	dual oxidase maturation factor 2	MGI:MGI:1914061
Tigar	Trp53 induced glycolysis regulatory phosphatase	MGI:MGI:2442752
Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	MGI:MGI:107799
Klf4	Kruppel-like factor 4 (gut)	MGI:MGI:1342287
Insr	insulin receptor	MGI:MGI:96575
Insr	insulin receptor	MGI:MGI:96575
Ins2	insulin II	MGI:MGI:96573
Il6	interleukin 6	MGI:MGI:96559
Il4	interleukin 4	MGI:MGI:96556
Il4	interleukin 4	MGI:MGI:96556
Esr1	estrogen receptor 1 (alpha)	MGI:MGI:1352467
Il1b	interleukin 1 beta	MGI:MGI:96543
Il10	interleukin 10	MGI:MGI:96537
Jak2	Janus kinase 2	MGI:MGI:96629
Jak2	Janus kinase 2	MGI:MGI:96629
